DR Kongo, Regenwald, Fufu,n,Warm
Frankreich,Berge/Küsten,Croissant,y,gemäßigt
Kanada,Berge, Ebenen/Tundra/Wälder, Poutine,y,Unbeständig
Madagaskar, Regenwald/Grasland, Romazava,y,Warm
Elfenbeinküste, Küstenebenen/Regenwald, Attiéké,y,Warm
Kamerun, Regenwald/Savanne, Ndolé,y,Warm
Niger, Wüste/Savanne, Jollof Reis,n,Warm
Mali, Wüste/Savanne, Tieboudienne,n,Warm
Burkina Faso, Savanne/Plateaus, Riz gras,n,Warm
Tschad, Wüste/Savanne, Boule,n,Warm
Senegal, Sahel/Savanne, Thieboudienne,y,Warm
Guinea, Regenwald/Savanne, Maafe,y,Warm
Ruanda, Berge/Plateaus, Ugali,n,Warm
Benin, Küstenebenen/Savanne, Fufu,y,Warm
Burundi, Plateaus/Hochländer, Bohnen und Reis,n,Warm
Haiti, Berge/Küsten, Griot,y,Warm
Belgien, Ebenen/Hügel, Belgische Waffeln,y,gemäßigt
Togo, Küstenebenen/Plateaus, Fufu,y,warm
Schweiz, Berge/Plateaus, Fondue,n, gemäßigt
Republik Kongo, Regenwald/Savanne, Moambe,y,warm
Zentralafrikanische Republik, Regenwald/Savanne, Maniok,n,warm
Gabun, Regenwald/Küstenebenen, Nyembwe,y,warm
Äquatorialguinea, Regenwald/Küstenebenen, Maniokbrot,y,warm
Dschibuti, Wüste/Küste, Skoudehkaris,y,warm
Réunion, Vulkaninsel, Rougail,y, gemäßigt
Komoren, Vulkaninseln, Langouste a la vanille,y,Warm
Luxemburg, bewaldete Hügel/Plateaus, Judd mat Gaardebounen,n, gemäßigt
Guadeloupe, Regenwald/Küsten, Accras,y,Warm
Martinique, Berge/Küsten, Colombo,y,Warm
Mayotte, Vulkaninsel, Pilao,y,Warm
Vanuatu, Vulkaninseln, Lap Lap,y, gemäßigt
Französisch-Guayana, Regenwald/Küste, Bouillon d'Aoura,y,Warm
Französisch-Polynesien, Vulkaninseln/Atolle, Poisson Cru,y,Warm
Neukaledonien, Korallenriffe/Berge, Bougna,y, gemäßigt
Jersey, Küstenebenen/Hügel, Jersey Royal Potatoes,y, gemäßigt
Seychellen, Koralleninseln, Oktopus-Curry,y,Warm
Monaco, urban/Küste, Barbagiuan,y,Warm
Saint-Martin, Küstenebenen/Hügel, Conch,y,Warm
Wallis und Futuna, Vulkaninseln, Ufi,y, gemäßigt
Saint-Barthélemy, Küstenebenen/Hügel, Accras,y,Warm
Saint-Pierre und Miquelon, Küstenebenen/Inseln, Gravlax,y, gemäßigt